iShares S&P 500 Value ETF
Fund Holdings as of,"Aug 22, 2025"
Inception Date,"May 22, 2000"
Shares Outstanding,"201,800,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"O","REALTY INCOME REIT CORP","Real Estate","Equity","85,596,206.76","0.21","85,596,206.76","1,452,753.00","58.92","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PSX","PHILLIPS","Energy","Equity","85,164,365.22","0.21","85,164,365.22","655,413.00","129.94","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DLR","DIGITAL REALTY TRUST REIT INC","Real Estate","Equity","85,078,479.14","0.21","85,078,479.14","509,269.00","167.06","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"D","DOMINION ENERGY INC","Utilities","Equity","84,917,948.30","0.21","84,917,948.30","1,371,857.00","61.90","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AFL","AFLAC INC","Financials","Equity","84,896,631.16","0.21","84,896,631.16","782,746.00","108.46","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MPC","MARATHON PETROLEUM CORP","Energy","Equity","84,446,503.68","0.21","84,446,503.68","494,186.00","170.88","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FDX","FEDEX CORP","Industrials","Equity","84,026,112.00","0.20","84,026,112.00","354,840.00","236.80","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"IDXX","IDEXX LABORATORIES INC","Health Care","Equity","83,514,803.50","0.20","83,514,803.50","129,370.00","645.55","United States","NASDAQ","USD","1.00","USD","-"
"NEE","NEXTERA ENERGY INC","Utilities","Equity","83,406,388.32","0.20","83,406,388.32","1,092,851.00","76.32","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"KMI","KINDER MORGAN INC","Energy","Equity","83,281,118.10","0.20","83,281,118.10","3,119,143.00","26.70","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LHX","L3HARRIS TECHNOLOGIES INC","Industrials","Equity","83,139,966.91","0.20","83,139,966.91","301,483.00","275.77","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GLW","CORNING INC","Information Technology","Equity","81,804,462.92","0.20","81,804,462.92","1,243,796.00","65.77","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"COR","CENCORA INC","Health Care","Equity","81,308,858.40","0.20","81,308,858.40","277,884.00","292.60","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CTVA","CORTEVA INC","Materials","Equity","80,515,137.45","0.20","80,515,137.45","1,097,385.00","73.37","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ICE","INTERCONTINENTAL EXCHANGE INC","Financials","Equity","80,134,552.47","0.19","80,134,552.47","443,541.00","180.67","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
